suite,id,tp,fp,fn,pass,detail
pii,email_personal,1,0,0,True,EMAIL:email_structure
pii,email_doc_negative,0,0,0,True,
pii,pan_personal,1,0,0,True,PAN:pan_structure+pan_context
pii,pan_serial_negative,0,0,0,True,
pii,ifsc_personal,1,0,0,True,IFSC:ownership_raw_ifsc_fallback+strict_normalized_support
pii,ifsc_config_negative,0,0,0,True,
pii,card_personal,1,0,0,True,CARD:ownership_raw_card_fallback
pii,card_test_negative,0,0,0,True,
pii,upi_personal,1,0,0,True,UPI:known_upi_handle
pii,upi_doc_negative,0,0,0,True,
pii,phone_his_number,1,0,0,True,PHONE:phone_context
pii,phone_her_number,1,0,0,True,PHONE:phone_context
pii,phone_future_contact,1,0,0,True,PHONE:phone_context
pii,phone_report_negative,0,0,0,True,
pii,phone_score_negative,0,0,0,True,
pii,address_delivery,1,0,0,True,ADDRESS:delivery_destination_address
pii,pincode_only,1,0,0,True,PINCODE:postal_context
pii,self_name,1,0,0,True,NAME:self_identification_name
pii,self_name_negative,0,0,0,True,
pii,password_personal,1,0,0,True,PASSWORD:explicit_secret_assignment
pii,password_explanation_negative,0,0,0,True,
pii,username_personal,1,0,0,True,USERNAME:explicit_secret_assignment
pii,username_label_negative,0,0,0,True,
pii,api_key_personal,1,0,0,True,API_KEY:explicit_secret_assignment
pii,api_placeholder_negative,0,0,0,True,
pii,auth_token_personal,1,0,0,True,AUTH_TOKEN:explicit_secret_use_context
pii,auth_prefix_doc_negative,0,0,0,True,
pii,dob_occurrence_1,1,0,0,True,DOB:natural_language_dob
pii,dob_deadline_negative,0,0,0,True,
pii,reference_pan_negative,0,0,0,True,
profanity,p1,1,0,0,True,fuck
profanity,p2,1,0,0,True,fuck
profanity,p3,1,0,0,True,shit
profanity,p4,1,0,0,True,shit
profanity,p5,1,0,0,True,bitch
profanity,p6,1,0,0,True,bitch
profanity,p7,1,0,0,True,asshole
profanity,p8,1,0,0,True,bastard
profanity,p9,1,0,0,True,madarchod
profanity,p10,1,0,0,True,bhenchod
profanity,p11,1,0,0,True,chutiya
profanity,p12,1,0,0,True,harami
profanity,p13,1,0,0,True,fuck
profanity,p14,1,0,0,True,shit
profanity,pn1,0,0,0,True,
profanity,pn2,0,0,0,True,
profanity,pn3,0,0,0,True,
profanity,pn4,0,0,0,True,
profanity,pn5,0,0,0,True,
profanity,pn6,0,0,0,True,
profanity,pn7,0,0,0,True,
profanity,pn8,0,0,0,True,
profanity,pn9,0,0,0,True,
profanity,pn10,0,0,0,True,
profanity,p15,1,0,0,True,gandu
profanity,p16,1,0,0,True,bakchod
profanity,p17,1,0,0,True,madarchod
profanity,pn11,0,0,0,True,
profanity,pn12,0,0,0,True,
